,Year,Country 1,Country 2,No. of Collaborations,No. of Publications of Country 1,No. of Publications of Country 2,Collaborators,Total No. of Publications,Continent of Country 1,Continent of Country 2,Percent of Total Publications of Country 1,Percent of Total Publications of Country 2,Rank of Country 1,Rank of Country 2
8866,2001,USA,Italy,5.0,260.0,62.0,USA & Italy,1488.0,North America,Europe,17.4731182796,4.16666666667,1/133,6/133
8868,2001,USA,Spain,4.0,260.0,33.0,USA & Spain,1488.0,North America,Europe,17.4731182796,2.21774193548,1/133,11/133
8869,2001,USA,Ukraine,4.0,260.0,9.0,USA & Ukraine,1488.0,North America,Europe,17.4731182796,0.604838709677,1/133,29/133
8870,2001,USA,Poland,3.0,260.0,20.0,USA & Poland,1488.0,North America,Europe,17.4731182796,1.34408602151,1/133,17/133
8871,2001,USA,Romania,2.0,260.0,14.0,USA & Romania,1488.0,North America,Europe,17.4731182796,0.940860215054,1/133,21/133
8872,2001,USA,Netherlands,4.0,260.0,21.0,USA & Netherlands,1488.0,North America,Europe,17.4731182796,1.41129032258,1/133,15/133
8873,2001,USA,Belgium,4.0,260.0,28.0,USA & Belgium,1488.0,North America,Europe,17.4731182796,1.88172043011,1/133,13/133
8874,2001,USA,Greece,3.0,260.0,9.0,USA & Greece,1488.0,North America,Europe,17.4731182796,0.604838709677,1/133,31/133
8875,2001,USA,Czech,5.0,260.0,11.0,USA & Czech,1488.0,North America,Europe,17.4731182796,0.739247311828,1/133,25/133
8877,2001,USA,Hungary,2.0,260.0,9.0,USA & Hungary,1488.0,North America,Europe,17.4731182796,0.604838709677,1/133,30/133
8878,2001,USA,Sweden,3.0,260.0,32.0,USA & Sweden,1488.0,North America,Europe,17.4731182796,2.15053763441,1/133,12/133
8879,2001,USA,Austria,1.0,260.0,12.0,USA & Austria,1488.0,North America,Europe,17.4731182796,0.806451612903,1/133,23/133
8881,2001,USA,Switzerland,8.0,260.0,36.0,USA & Switzerland,1488.0,North America,Europe,17.4731182796,2.41935483871,1/133,8/133
8882,2001,USA,Bulgaria,1.0,260.0,5.0,USA & Bulgaria,1488.0,North America,Europe,17.4731182796,0.336021505376,1/133,37/133
8883,2001,USA,Denmark,1.0,260.0,5.0,USA & Denmark,1488.0,North America,Europe,17.4731182796,0.336021505376,1/133,36/133
8884,2001,USA,Slovakia,1.0,260.0,2.0,USA & Slovakia,1488.0,North America,Europe,17.4731182796,0.134408602151,1/133,46/133
8885,2001,USA,Finland,1.0,260.0,10.0,USA & Finland,1488.0,North America,Europe,17.4731182796,0.672043010753,1/133,26/133
8886,2001,USA,Norway,3.0,260.0,7.0,USA & Norway,1488.0,North America,Europe,17.4731182796,0.470430107527,1/133,32/133
8887,2001,USA,Georgia,6.0,260.0,6.0,USA & Georgia,1488.0,North America,Europe,17.4731182796,0.403225806452,1/133,34/133
8889,2001,USA,Croatia,1.0,260.0,3.0,USA & Croatia,1488.0,North America,Europe,17.4731182796,0.201612903226,1/133,42/133
